"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;53110;4676;298036;17.8;1.6
0-9;M;56868;5065;314670;18.1;1.6
10-19;K;261140;226654;330055;79.1;68.7
10-19;M;272080;235522;346532;78.5;68.0
20-29;K;319903;309515;382750;83.6;80.9
20-29;M;325700;313933;399160;81.6;78.6
30-39;K;298681;289353;350094;85.3;82.7
30-39;M;298578;289784;363953;82.0;79.6
40-49;K;337316;333301;367981;91.7;90.6
40-49;M;329088;324738;368382;89.3;88.2
50-59;K;377353;374956;401042;94.1;93.5
50-59;M;378829;376159;404850;93.6;92.9
60-69;K;328451;327188;342183;96.0;95.6
60-69;M;318651;317318;331858;96.0;95.6
70-79;K;297332;296584;305386;97.4;97.1
70-79;M;268880;268224;275772;97.5;97.3
80-89;K;137368;136930;141355;97.2;96.9
80-89;M;102385;102099;104814;97.7;97.4
90+;K;30697;30494;32078;95.7;95.1
90+;M;13065;13010;13475;97.0;96.5
