"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;2139;66
Hovedstaden;3-5;M;2318;62
Hovedstaden;6-11;K;22559;2040
Hovedstaden;6-11;M;23688;2150
Hovedstaden;12-15;K;30379;27839
Hovedstaden;12-15;M;32192;29563
Hovedstaden;16-19;K;34396;33469
Hovedstaden;16-19;M;35045;33883
Hovedstaden;20-39;K;231086;223652
Hovedstaden;20-39;M;222141;214813
Hovedstaden;40-64;K;271404;268698
Hovedstaden;40-64;M;266825;263928
Hovedstaden;65-79;K;126598;126129
Hovedstaden;65-79;M;109370;108969
Hovedstaden;80+;K;48001;47776
Hovedstaden;80+;M;29703;29599
Midtjylland;0-2;K;2;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;1887;54
Midtjylland;3-5;M;2110;58
Midtjylland;6-11;K;21408;5171
Midtjylland;6-11;M;22581;5447
Midtjylland;12-15;K;26048;24334
Midtjylland;12-15;M;27171;25423
Midtjylland;16-19;K;29545;29023
Midtjylland;16-19;M;30275;29593
Midtjylland;20-39;K;147404;143263
Midtjylland;20-39;M;150277;145863
Midtjylland;40-64;K;198951;197614
Midtjylland;40-64;M;197680;196289
Midtjylland;65-79;K;101806;101592
Midtjylland;65-79;M;96345;96131
Midtjylland;80+;K;36390;36273
Midtjylland;80+;M;26030;25958
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;702;8
Nordjylland;3-5;M;749;18
Nordjylland;6-11;K;8310;1225
Nordjylland;6-11;M;8694;1298
Nordjylland;12-15;K;10807;10012
Nordjylland;12-15;M;11533;10737
Nordjylland;16-19;K;12311;12099
Nordjylland;16-19;M;12880;12585
Nordjylland;20-39;K;59071;57262
Nordjylland;20-39;M;64062;61883
Nordjylland;40-64;K;88424;87827
Nordjylland;40-64;M;88678;87945
Nordjylland;65-79;K;49749;49614
Nordjylland;65-79;M;47705;47563
Nordjylland;80+;K;18472;18417
Nordjylland;80+;M;13407;13364
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;883;27
Sjælland;3-5;M;1023;27
Sjælland;6-11;K;10460;1456
Sjælland;6-11;M;11179;1602
Sjælland;12-15;K;15578;14629
Sjælland;12-15;M;16599;15531
Sjælland;16-19;K;17900;17573
Sjælland;16-19;M;18980;18510
Sjælland;20-39;K;66925;64539
Sjælland;20-39;M;69032;66562
Sjælland;40-64;K;136191;135115
Sjælland;40-64;M;133622;132527
Sjælland;65-79;K;76106;75902
Sjælland;65-79;M;70750;70562
Sjælland;80+;K;26050;25953
Sjælland;80+;M;18665;18628
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1433;54
Syddanmark;3-5;M;1570;70
Syddanmark;6-11;K;17596;4401
Syddanmark;6-11;M;18733;4722
Syddanmark;12-15;K;23161;21633
Syddanmark;12-15;M;24322;22703
Syddanmark;16-19;K;26740;26215
Syddanmark;16-19;M;27305;26605
Syddanmark;20-39;K;114098;110152
Syddanmark;20-39;M;118766;114596
Syddanmark;40-64;K;188873;187461
Syddanmark;40-64;M;187668;185989
Syddanmark;65-79;K;102350;102077
Syddanmark;65-79;M;96805;96536
Syddanmark;80+;K;39152;39005
Syddanmark;80+;M;27645;27560
