Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     144 (51);     137 (49);     281
10-19;     293 (55);     239 (45);     532
20-29;     998 (62);     609 (38);   1.607
30-39;   1.016 (61);     650 (39);   1.666
40-49;   1.227 (60);     810 (40);   2.037
50-59;   1.262 (60);     847 (40);   2.109
60-69;     665 (50);     676 (50);   1.341
70-79;     443 (45);     541 (55);     984
80-89;     449 (57);     336 (43);     785
90+;     181 (72);      70 (28);     251
I alt;   6.678 (58);   4.915 (42);  11.593
