"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,2637,0
AstraZeneca Covid-19 vaccine,Midtjylland,9296,0
AstraZeneca Covid-19 vaccine,Syddanmark,9320,0
AstraZeneca Covid-19 vaccine,Hovedstaden,9300,0
AstraZeneca Covid-19 vaccine,Sjælland,9526,0
Moderna Covid-19 Vaccine,Nordjylland,3231,1
Moderna Covid-19 Vaccine,Midtjylland,1947,119
Moderna Covid-19 Vaccine,Syddanmark,4335,1846
Moderna Covid-19 Vaccine,Hovedstaden,2173,3
Moderna Covid-19 Vaccine,Sjælland,1197,2
Pfizer BioNTech Covid-19 vacc,Nordjylland,29655,19031
Pfizer BioNTech Covid-19 vacc,Midtjylland,60998,39810
Pfizer BioNTech Covid-19 vacc,Syddanmark,55053,35936
Pfizer BioNTech Covid-19 vacc,Hovedstaden,80202,57299
Pfizer BioNTech Covid-19 vacc,Sjælland,42035,21508
