"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,35523,19032,590415
Midtjylland,72241,39929,1332556
Syddanmark,68708,37782,1223509
Hovedstaden,91675,57302,1855595
Sjælland,52758,21510,838862
