"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,35523,19032,6.0,3.2,590415
Midtjylland,72241,39929,5.4,3.0,1332556
Syddanmark,68708,37782,5.6,3.1,1223509
Hovedstaden,91675,57302,4.9,3.1,1855595
Sjælland,52758,21510,6.3,2.6,838862
