"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;507861;494878;346631;78.7;76.7;53.7;645147
Frederiksberg;86810;84938;63482;83.8;82.0;61.3;103587
Ballerup;39013;38013;28299;79.3;77.2;57.5;49211
Brøndby;25872;25051;17842;72.3;70.0;49.9;35768
Dragør;12283;11948;9050;84.0;81.7;61.9;14626
Gentofte;62238;60743;45527;83.8;81.8;61.3;74273
Gladsaxe;55523;53965;38934;80.2;77.9;56.2;69267
Glostrup;18250;17752;12792;77.8;75.7;54.5;23454
Herlev;22665;21977;16069;78.6;76.2;55.7;28828
Albertslund;20649;19954;13752;74.7;72.2;49.8;27638
Hvidovre;41519;40206;28766;78.0;75.5;54.0;53224
Høje Tåstrup;39696;38494;27264;74.8;72.5;51.4;53081
Lyngby-Taarbæk;48663;47420;35412;84.3;82.1;61.3;57754
Rødovre;32162;31184;22426;77.6;75.2;54.1;41472
Ishøj;16157;15628;10447;69.6;67.3;45.0;23228
Tårnby;34238;33314;24441;80.2;78.0;57.2;42703
Vallensbæk;12565;12197;8679;76.1;73.8;52.5;16517
Furesø;34253;33386;25069;82.8;80.7;60.6;41387
Allerød;21999;21529;16410;85.2;83.4;63.5;25827
Fredensborg;33555;32774;24796;81.4;79.5;60.2;41207
Helsingør;51725;50616;38838;82.3;80.5;61.8;62855
Hillerød;44079;43112;32321;82.7;80.9;60.6;53299
Hørsholm;21129;20696;16144;85.4;83.7;65.3;24734
Rudersdal;48498;47396;36211;84.7;82.8;63.3;57247
Egedal;36951;36115;26745;83.2;81.3;60.2;44410
Frederikssund;38533;37717;28920;84.1;82.3;63.1;45819
Greve;40755;39779;29508;80.2;78.3;58.1;50807
Køge;50440;49193;36896;81.8;79.8;59.8;61651
Halsnæs;26000;25419;19778;83.0;81.1;63.1;31330
Roskilde;75061;73497;55393;83.9;82.1;61.9;89488
Solrød;19504;19074;14173;81.9;80.1;59.5;23817
Gribskov;34165;33474;26205;83.0;81.3;63.7;41154
Odsherred;27642;27182;21619;84.2;82.8;65.9;32823
Holbæk;60682;59462;44746;83.3;81.6;61.4;72888
Faxe;30450;29790;22673;81.9;80.2;61.0;37166
Kalundborg;39813;39049;30100;82.3;80.7;62.2;48367
Ringsted;28197;27582;20591;80.2;78.5;58.6;35149
Slagelse;65030;63591;48306;81.6;79.8;60.6;79711
Stevns;19481;19074;14779;82.9;81.1;62.9;23507
Sorø;25200;24745;18845;84.0;82.5;62.8;30003
Lejre;23735;23282;17798;83.0;81.5;62.3;28581
Lolland;32854;32258;25291;82.0;80.5;63.1;40083
Næstved;69284;67938;51438;82.6;81.0;61.3;83883
Guldborgsund;49748;48860;38081;82.5;81.0;63.2;60292
Vordingborg;37453;36718;28481;82.7;81.1;62.9;45293
Bornholm;34054;33393;26787;85.9;84.3;67.6;39628
Middelfart;33937;33308;26060;85.6;84.0;65.7;39637
Assens;35001;34286;26315;85.5;83.8;64.3;40919
Faaborg-Midtfyn;44247;43353;33203;85.4;83.7;64.1;51826
Kerteminde;20529;20091;15572;85.5;83.7;64.8;24013
Nyborg;27560;27017;20813;85.8;84.1;64.8;32117
Odense;172326;168541;124692;83.7;81.8;60.5;205998
Svendborg;50578;49656;37912;85.5;83.9;64.1;59178
Nordfyn;24993;24439;18584;84.0;82.2;62.5;29737
Langeland;10576;10408;8436;85.9;84.5;68.5;12319
Ærø;5284;5189;4293;87.6;86.1;71.2;6029
Haderslev;45654;44755;33601;82.6;80.9;60.8;55294
Billund;22209;21802;16593;83.3;81.7;62.2;26674
Sønderborg;61683;60478;46437;83.6;82.0;63.0;73740
Tønder;29957;29335;22206;81.4;79.7;60.3;36812
Esbjerg;95790;93938;70372;82.9;81.3;60.9;115500
Fanø;2965;2925;2376;86.7;85.6;69.5;3418
Varde;41209;40389;30936;83.0;81.3;62.3;49674
Vejen;34994;34231;25534;82.2;80.4;60.0;42583
Aabenraa;47290;46431;35278;80.6;79.1;60.1;58674
Fredericia;43078;42216;32311;83.5;81.8;62.6;51610
Horsens;77010;75476;55842;81.4;79.8;59.0;94590
Kolding;76988;75491;55316;82.3;80.7;59.1;93540
Vejle;97927;96028;70487;82.2;80.6;59.2;119162
Herning;74682;73247;54363;83.7;82.1;60.9;89263
Holstebro;49414;48425;36145;84.4;82.8;61.8;58515
Lemvig;16583;16329;12843;85.4;84.1;66.2;19412
Struer;17851;17529;13476;85.9;84.4;64.9;20776
Syddjurs;36946;36261;28290;84.7;83.1;64.8;43632
Norddjurs;31292;30723;24164;84.8;83.3;65.5;36903
Favrskov;41418;40560;30227;84.7;83.0;61.8;48876
Odder;19984;19565;15440;85.6;83.9;66.2;23333
