"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90792;0.0;0.0
00-02;M;1;0;95768;0.0;0.0
03-05;K;8203;5034;91151;9.0;5.5
03-05;M;8965;5511;96345;9.3;5.7
06-11;K;89961;67580;178952;50.3;37.8
06-11;M;94927;71287;188096;50.5;37.9
12-15;K;107174;103121;132668;80.8;77.7
12-15;M;113048;108757;140237;80.6;77.6
16-19;K;121258;119570;134112;90.4;89.2
16-19;M;125093;122758;140328;89.1;87.5
20-39;K;623640;610687;732952;85.1;83.3
20-39;M;629107;614402;763575;82.4;80.5
40-64;K;885011;879772;946116;93.5;93.0
40-64;M;875607;870151;947507;92.4;91.8
65-79;K;457224;456294;470786;97.1;96.9
65-79;M;421469;420618;433428;97.2;97.0
80+;K;168344;167852;173507;97.0;96.7
80+;M;115774;115524;118493;97.7;97.5
