"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60656;42918;297889;20.4;14.4
0-9;M;64728;45784;314494;20.6;14.6
10-19;K;265947;252389;329786;80.6;76.5
10-19;M;277306;262529;346280;80.1;75.8
20-29;K;322702;315768;382422;84.4;82.6
20-29;M;328356;319839;398946;82.3;80.2
30-39;K;300938;294919;350530;85.9;84.1
30-39;M;300751;294563;364629;82.5;80.8
40-49;K;337609;334726;367649;91.8;91.0
40-49;M;329245;326211;367930;89.5;88.7
50-59;K;377878;376076;401139;94.2;93.8
50-59;M;379441;377605;405066;93.7;93.2
60-69;K;328943;327998;342447;96.1;95.8
60-69;M;319275;318299;332154;96.1;95.8
70-79;K;297805;297266;305667;97.4;97.3
70-79;M;269115;268654;275785;97.6;97.4
80-89;K;137734;137399;141584;97.3;97.0
80-89;M;102730;102530;105069;97.8;97.6
90+;K;30610;30453;31923;95.9;95.4
90+;M;13044;12994;13424;97.2;96.8
