"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;62487;44413;299720;20.8;14.8
0-9;M;66673;47382;316439;21.1;15.0
10-19;K;282349;269009;346188;81.6;77.7
10-19;M;292887;278259;361861;80.9;76.9
20-29;K;321474;314486;381194;84.3;82.5
20-29;M;327572;319051;398162;82.3;80.1
30-39;K;301915;295983;351507;85.9;84.2
30-39;M;299960;293880;363838;82.4;80.8
40-49;K;344898;342027;374938;92.0;91.2
40-49;M;337155;334151;375840;89.7;88.9
50-59;K;378318;376539;401579;94.2;93.8
50-59;M;379403;377597;405028;93.7;93.2
60-69;K;325759;324832;339263;96.0;95.7
60-69;M;316801;315846;329680;96.1;95.8
70-79;K;292278;291761;300140;97.4;97.2
70-79;M;262019;261566;268689;97.5;97.3
80-89;K;126806;126472;130656;97.1;96.8
80-89;M;91696;91496;94035;97.5;97.3
90+;K;24538;24390;25851;94.9;94.3
90+;M;9825;9780;10205;96.3;95.8
