"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499681;488841;370331;84.4;82.6;62.6;591748
Midtjylland;1123923;1101409;828786;83.7;82.0;61.7;1342427
Syddanmark;1024775;1004307;757327;83.4;81.8;61.6;1228454
Hovedstaden;1501105;1463289;1068037;80.3;78.3;57.2;1868675
Sjælland;695329;681074;518718;82.4;80.7;61.5;843509
