"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;507861;494878;645147
Frederiksberg;86810;84938;103587
Ballerup;39013;38013;49211
Brøndby;25872;25051;35768
Dragør;12283;11948;14626
Gentofte;62238;60743;74273
Gladsaxe;55523;53965;69267
Glostrup;18250;17752;23454
Herlev;22665;21977;28828
Albertslund;20649;19954;27638
Hvidovre;41519;40206;53224
Høje-Taastrup;39696;38494;53081
Lyngby-Taarbæk;48663;47420;57754
Rødovre;32162;31184;41472
Ishøj;16157;15628;23228
Tårnby;34238;33314;42703
Vallensbæk;12565;12197;16517
Furesø;34253;33386;41387
Allerød;21999;21529;25827
Fredensborg;33555;32774;41207
Helsingør;51725;50616;62855
Hillerød;44079;43112;53299
Hørsholm;21129;20696;24734
Rudersdal;48498;47396;57247
Egedal;36951;36115;44410
Frederikssund;38533;37717;45819
Greve;40755;39779;50807
Køge;50440;49193;61651
Frederiksværk-Hundested;26000;25419;31330
Roskilde;75061;73497;89488
Solrød;19504;19074;23817
Gribskov;34165;33474;41154
Odsherred;27642;27182;32823
Holbæk;60682;59462;72888
Faxe;30450;29790;37166
Kalundborg;39813;39049;48367
Ringsted;28197;27582;35149
Slagelse;65030;63591;79711
Stevns;19481;19074;23507
Sorø;25200;24745;30003
Lejre;23735;23282;28581
Lolland;32854;32258;40083
Næstved;69284;67938;83883
Guldborgsund;49748;48860;60292
Vordingborg;37453;36718;45293
Bornholm;34054;33393;39628
Middelfart;33937;33308;39637
Assens;35001;34286;40919
Faaborg-Midtfyn;44247;43353;51826
Kerteminde;20529;20091;24013
Nyborg;27560;27017;32117
Odense;172326;168541;205998
Svendborg;50578;49656;59178
Nordfyns;24993;24439;29737
Langeland;10576;10408;12319
Ærø;5284;5189;6029
Haderslev;45654;44755;55294
Billund;22209;21802;26674
Sønderborg;61683;60478;73740
Tønder;29957;29335;36812
Esbjerg;95790;93938;115500
Fanø;2965;2925;3418
Varde;41209;40389;49674
Vejen;34994;34231;42583
Aabenraa;47290;46431;58674
Fredericia;43078;42216;51610
Horsens;77010;75476;94590
Kolding;76988;75491;93540
Vejle;97927;96028;119162
Herning;74682;73247;89263
Holstebro;49414;48425;58515
Lemvig;16583;16329;19412
Struer;17851;17529;20776
Syddjurs;36946;36261;43632
Norddjurs;31292;30723;36903
Favrskov;41418;40560;48876
Odder;19984;19565;23333
Randers;82641;81042;99022
Silkeborg;80982;79335;97493
Samsø;3249;3204;3708
Skanderborg;53983;52731;64393
Århus;296094;289677;355436
Ikast-Brande;34361;33717;41884
Ringkøbing-Skjern;46931;46061;56184
Hedensted;39602;38946;47111
Morsø;17061;16680;20064
Skive;38837;38149;45084
Thisted;36347;35545;43093
Viborg;82063;80432;96812
Brønderslev-Dronninglund;30504;29826;36201
Frederikshavn;50194;49289;58873
Vesthimmerlands;30065;29416;36288
Læsø;1531;1506;1774
Rebild;25494;24918;30657
Mariagerfjord;35249;34411;41654
Jammerbugt;32330;31588;38173
Ålborg;186407;182244;221127
Hjørring;54499;53418;63844
