"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17036;105
AstraZeneca Covid-19 vaccine;Midtjylland;34066;259
AstraZeneca Covid-19 vaccine;Syddanmark;30849;492
AstraZeneca Covid-19 vaccine;Hovedstaden;46533;1181
AstraZeneca Covid-19 vaccine;Sjælland;24017;469
Janssen COVID-19 vaccine;Nordjylland;3692;3692
Janssen COVID-19 vaccine;Midtjylland;9919;9919
Janssen COVID-19 vaccine;Syddanmark;7679;7679
Janssen COVID-19 vaccine;Hovedstaden;22873;22873
Janssen COVID-19 vaccine;Sjælland;2867;2867
Moderna Covid-19 Vaccine;Nordjylland;71574;70858
Moderna Covid-19 Vaccine;Midtjylland;127716;126371
Moderna Covid-19 Vaccine;Syddanmark;136472;163709
Moderna Covid-19 Vaccine;Hovedstaden;153519;151577
Moderna Covid-19 Vaccine;Sjælland;85321;106250
Pfizer BioNTech Covid-19 vacc;Nordjylland;407379;414186
Pfizer BioNTech Covid-19 vacc;Midtjylland;952222;964860
Pfizer BioNTech Covid-19 vacc;Syddanmark;849775;832427
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1278180;1287658
Pfizer BioNTech Covid-19 vacc;Sjælland;583124;571488
