"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-28;Hovedstaden;K;773195;754827;556151;773126;754513;554552;69;314;1599
2022-01-28;Hovedstaden;M;727910;708462;511886;727847;708129;510391;63;333;1495
2022-01-28;Midtjylland;K;567438;556671;424589;567380;556324;423409;58;347;1180
2022-01-28;Midtjylland;M;556485;544738;404197;556426;544389;402957;59;349;1240
2022-01-28;Nordjylland;K;249888;244801;188957;249880;244717;188500;8;84;457
2022-01-28;Nordjylland;M;249793;244040;181374;249771;243942;180804;22;98;570
2022-01-28;Sjælland;K;352780;345861;267686;352760;345754;267252;20;107;434
2022-01-28;Sjælland;M;342549;335213;251032;342529;335079;250516;20;134;516
2022-01-28;Syddanmark;K;517521;507752;389278;517475;507534;388272;46;218;1006
2022-01-28;Syddanmark;M;507254;496555;368049;507220;496341;367000;34;214;1049
