"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18265;12241
Hovedstaden;0-9;M;19354;12913
Hovedstaden;10-19;K;80995;76126
Hovedstaden;10-19;M;83605;78285
Hovedstaden;20-29;K;122476;119831
Hovedstaden;20-29;M;115874;112815
Hovedstaden;30-39;K;110890;108576
Hovedstaden;30-39;M;108231;105991
Hovedstaden;40-49;K;112729;111551
Hovedstaden;40-49;M;109518;108381
Hovedstaden;50-59;K;113279;112621
Hovedstaden;50-59;M;112459;111769
Hovedstaden;60-69;K;89026;88708
Hovedstaden;60-69;M;84404;84054
Hovedstaden;70-79;K;82195;81999
Hovedstaden;70-79;M;68320;68185
Hovedstaden;80-89;K;36015;35898
Hovedstaden;80-89;M;23580;23515
Hovedstaden;90+;K;7325;7276
Hovedstaden;90+;M;2565;2554
Midtjylland;0-9;K;16154;11879
Midtjylland;0-9;M;17256;12681
Midtjylland;10-19;K;69641;66913
Midtjylland;10-19;M;71656;68661
Midtjylland;20-29;K;79906;78437
Midtjylland;20-29;M;81644;79802
Midtjylland;30-39;K;68313;67144
Midtjylland;30-39;M;69118;67931
Midtjylland;40-49;K;77838;77351
Midtjylland;40-49;M;76928;76377
Midtjylland;50-59;K;84518;84212
Midtjylland;50-59;M;84966;84656
Midtjylland;60-69;K;74446;74274
Midtjylland;60-69;M;72923;72761
Midtjylland;70-79;K;63837;63766
Midtjylland;70-79;M;59029;58950
Midtjylland;80-89;K;27470;27403
Midtjylland;80-89;M;20688;20652
Midtjylland;90+;K;5315;5292
Midtjylland;90+;M;2277;2267
Nordjylland;0-9;K;6558;4603
Nordjylland;0-9;M;6854;4783
Nordjylland;10-19;K;28833;27535
Nordjylland;10-19;M;30266;28782
Nordjylland;20-29;K;31552;30848
Nordjylland;20-29;M;35392;34454
Nordjylland;30-39;K;27900;27365
Nordjylland;30-39;M;28853;28221
Nordjylland;40-49;K;32454;32225
Nordjylland;40-49;M;32615;32345
Nordjylland;50-59;K;38480;38302
Nordjylland;50-59;M;38919;38743
Nordjylland;60-69;K;35832;35738
Nordjylland;60-69;M;35331;35235
Nordjylland;70-79;K;31648;31597
Nordjylland;70-79;M;29757;29703
Nordjylland;80-89;K;13954;13924
Nordjylland;80-89;M;10619;10593
Nordjylland;90+;K;2677;2664
Nordjylland;90+;M;1187;1181
Sjælland;0-9;K;8053;5747
Sjælland;0-9;M;8742;6224
Sjælland;10-19;K;40875;38992
Sjælland;10-19;M;43331;41292
Sjælland;20-29;K;30293;29447
Sjælland;20-29;M;33069;32070
Sjælland;30-39;K;37357;36536
Sjælland;30-39;M;36168;35361
Sjælland;40-49;K;50635;50197
Sjælland;40-49;M;48484;48048
Sjælland;50-59;K;60015;59727
Sjælland;50-59;M;60211;59945
Sjælland;60-69;K;52859;52703
Sjælland;60-69;M;51403;51243
Sjælland;70-79;K;49381;49284
Sjælland;70-79;M;44852;44776
Sjælland;80-89;K;19811;19752
Sjælland;80-89;M;14845;14818
Sjælland;90+;K;3501;3476
Sjælland;90+;M;1444;1436
Syddanmark;0-9;K;13457;9943
Syddanmark;0-9;M;14467;10781
Syddanmark;10-19;K;62005;59443
Syddanmark;10-19;M;64029;61239
Syddanmark;20-29;K;57247;55923
Syddanmark;20-29;M;61593;59910
Syddanmark;30-39;K;57455;56362
Syddanmark;30-39;M;57590;56376
Syddanmark;40-49;K;71242;70703
Syddanmark;40-49;M;69610;69000
Syddanmark;50-59;K;82026;81677
Syddanmark;50-59;M;82848;82484
Syddanmark;60-69;K;73596;73409
Syddanmark;60-69;M;72740;72553
Syddanmark;70-79;K;65217;65115
Syddanmark;70-79;M;60061;59952
Syddanmark;80-89;K;29556;29495
Syddanmark;80-89;M;21964;21918
Syddanmark;90+;K;5720;5682
Syddanmark;90+;M;2352;2342
