Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  20.571 (49);  21.744 (51);  42.315
10-19;  38.086 (49);  38.923 (51);  77.009
20-29;  43.494 (49);  44.969 (51);  88.463
30-39;  31.534 (51);  30.654 (49);  62.188
40-49;  32.744 (52);  29.628 (48);  62.372
50-59;  26.915 (50);  26.479 (50);  53.394
60-69;  14.154 (49);  14.720 (51);  28.874
70-79;   8.935 (49);   9.120 (51);  18.055
80-89;   4.496 (56);   3.503 (44);   7.999
90+;   1.542 (70);     670 (30);   2.212
I alt; 222.471 (50); 220.410 (50); 442.881
