Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 112.400 (49); 118.891 (51); 231.291
10-19; 171.773 (50); 171.543 (50); 343.316
20-29; 141.638 (51); 133.891 (49); 275.529
30-39; 139.252 (53); 122.929 (47); 262.181
40-49; 134.853 (53); 119.819 (47); 254.672
50-59;  92.307 (51);  89.959 (49); 182.266
60-69;  46.329 (50);  46.157 (50);  92.486
70-79;  23.445 (50);  23.817 (50);  47.262
80-89;   9.426 (55);   7.674 (45);  17.100
90+;   3.096 (69);   1.383 (31);   4.479
I alt; 874.534 (51); 836.084 (49);1.710.619
