Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.570.956; 129.596;   7.408;   1.334
Sjælland; 657.956;  37.191;   2.558;     405
Syddanmark; 981.968;  38.731;   1.789;     220
Midtjylland;1.071.732;  47.709;   2.206;     354
Nordjylland; 499.508;  19.194;     946;     185
I alt i Danmark;4.782.120; 272.421;  14.907;   2.498
