"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-10-25;Hovedstaden;K;716248;703390;42002;716232;703371;41929;16;19;73
2021-10-25;Hovedstaden;M;671740;659235;30676;671714;659211;30625;26;24;51
2021-10-25;Midtjylland;K;522948;515854;29075;522941;515850;29040;7;4;35
2021-10-25;Midtjylland;M;510877;503233;21231;510871;503229;21223;6;4;8
2021-10-25;Nordjylland;K;231583;228577;14734;231481;228446;13451;102;131;1283
2021-10-25;Nordjylland;M;230780;227203;9703;230701;227076;9122;79;127;581
2021-10-25;Sjælland;K;328149;323970;20632;328100;323914;20017;49;56;615
2021-10-25;Sjælland;M;316639;312541;14150;316595;312488;13878;44;53;272
2021-10-25;Syddanmark;K;478209;471955;28986;478104;471866;28241;105;89;745
2021-10-25;Syddanmark;M;465983;459365;20610;465884;459288;20285;99;77;325
