"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;470377;459592;20383;73.0;71.4;3.2;644057
Frederiksberg;80925;79525;4330;78.0;76.7;4.2;103708
Ballerup;36161;35566;2139;73.5;72.3;4.3;49187
Brøndby;23892;23356;1344;67.3;65.8;3.8;35516
Dragør;11247;11103;718;77.0;76.0;4.9;14602
Gentofte;57112;56256;3349;76.9;75.7;4.5;74283
Gladsaxe;51001;50104;2791;73.8;72.5;4.0;69121
Glostrup;17006;16707;1170;72.4;71.1;5.0;23499
Herlev;20952;20540;1339;72.6;71.1;4.6;28870
Albertslund;18795;18303;969;68.6;66.8;3.5;27415
Hvidovre;38238;37513;2117;71.8;70.4;4.0;53266
Høje Tåstrup;36097;35381;2040;68.5;67.1;3.9;52720
Lyngby-Taarbæk;44533;43895;2573;77.0;75.9;4.4;57840
Rødovre;29458;28938;1580;71.4;70.1;3.8;41265
Ishøj;14795;14370;655;63.9;62.1;2.8;23136
Tårnby;31518;31026;1838;73.9;72.7;4.3;42678
Vallensbæk;11517;11282;620;69.7;68.2;3.8;16531
Furesø;31255;30865;1968;75.6;74.6;4.8;41351
Allerød;20266;20034;1115;78.4;77.5;4.3;25862
Fredensborg;30983;30510;1739;75.4;74.2;4.2;41107
Helsingør;48253;47529;2497;76.5;75.4;4.0;63037
Hillerød;40566;40034;2445;76.6;75.6;4.6;52942
Hørsholm;19739;19525;1279;79.7;78.9;5.2;24756
Rudersdal;44678;44120;2906;77.9;77.0;5.1;57326
Egedal;34079;33629;1666;76.9;75.9;3.8;44291
Frederikssund;36075;35605;1895;78.8;77.7;4.1;45809
Greve;37507;36988;1957;73.9;72.9;3.9;50744
Køge;46776;46149;2765;75.8;74.8;4.5;61698
Halsnæs;24440;24121;1371;77.8;76.8;4.4;31405
Roskilde;69319;68443;4017;77.6;76.7;4.5;89274
Solrød;17876;17655;968;75.5;74.6;4.1;23677
Gribskov;32109;31703;1811;77.9;76.9;4.4;41216
Odsherred;26120;25794;1512;79.4;78.4;4.6;32912
Holbæk;56199;55420;3271;77.3;76.2;4.5;72718
Faxe;28126;27784;1375;76.0;75.1;3.7;37018
Kalundborg;37145;36670;1735;76.7;75.7;3.6;48432
Ringsted;25906;25573;1075;73.7;72.8;3.1;35147
Slagelse;60098;59241;3334;75.5;74.4;4.2;79636
Stevns;18094;17900;930;77.3;76.5;4.0;23403
Sorø;23205;22949;1140;77.4;76.6;3.8;29977
Lejre;21946;21705;1199;76.7;75.8;4.2;28629
Lolland;30757;30344;1937;76.6;75.5;4.8;40175
Næstved;64001;63196;3943;76.5;75.5;4.7;83680
Guldborgsund;46577;46008;2068;77.2;76.3;3.4;60303
Vordingborg;35136;34692;1556;77.4;76.5;3.4;45377
Bornholm;31921;31493;2031;80.4;79.3;5.1;39700
Middelfart;31228;30884;1892;79.0;78.2;4.8;39515
Assens;32411;32009;1483;79.3;78.3;3.6;40891
Faaborg-Midtfyn;40741;40229;2186;78.6;77.6;4.2;51831
