"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;470377;459592;644057
Frederiksberg;80925;79525;103708
Ballerup;36161;35566;49187
Brøndby;23892;23356;35516
Dragør;11247;11103;14602
Gentofte;57112;56256;74283
Gladsaxe;51001;50104;69121
Glostrup;17006;16707;23499
Herlev;20952;20540;28870
Albertslund;18795;18303;27415
Hvidovre;38238;37513;53266
Høje-Taastrup;36097;35381;52720
Lyngby-Taarbæk;44533;43895;57840
Rødovre;29458;28938;41265
Ishøj;14795;14370;23136
Tårnby;31518;31026;42678
Vallensbæk;11517;11282;16531
Furesø;31255;30865;41351
Allerød;20266;20034;25862
Fredensborg;30983;30510;41107
Helsingør;48253;47529;63037
Hillerød;40566;40034;52942
Hørsholm;19739;19525;24756
Rudersdal;44678;44120;57326
Egedal;34079;33629;44291
Frederikssund;36075;35605;45809
Greve;37507;36988;50744
Køge;46776;46149;61698
Frederiksværk-Hundested;24440;24121;31405
Roskilde;69319;68443;89274
Solrød;17876;17655;23677
Gribskov;32109;31703;41216
Odsherred;26120;25794;32912
Holbæk;56199;55420;72718
Faxe;28126;27784;37018
Kalundborg;37145;36670;48432
Ringsted;25906;25573;35147
Slagelse;60098;59241;79636
Stevns;18094;17900;23403
Sorø;23205;22949;29977
Lejre;21946;21705;28629
Lolland;30757;30344;40175
Næstved;64001;63196;83680
Guldborgsund;46577;46008;60303
Vordingborg;35136;34692;45377
Bornholm;31921;31493;39700
Middelfart;31228;30884;39515
Assens;32411;32009;40891
Faaborg-Midtfyn;40741;40229;51831
Kerteminde;19082;18858;24009
Nyborg;25461;25157;32069
Odense;159577;157189;206115
Svendborg;46640;46066;59161
Nordfyns;23075;22811;29683
Langeland;9972;9880;12310
Ærø;5004;4955;6014
Haderslev;42061;41471;55336
Billund;20368;20123;26614
Sønderborg;57220;56462;73651
Tønder;27876;27505;36881
Esbjerg;88331;87084;115429
Fanø;2800;2773;3432
Varde;37938;37492;49623
Vejen;31828;31422;42694
Aabenraa;43682;43116;58603
Fredericia;39492;38975;51545
Horsens;69886;68847;94081
Kolding;70142;69043;93405
Vejle;89263;87816;118549
Herning;68517;67433;89212
Holstebro;45272;44601;58534
Lemvig;15463;15301;19369
Struer;16523;16321;20757
Syddjurs;34373;33975;43653
Norddjurs;29221;28888;37046
Favrskov;37602;37140;48769
Odder;18494;18316;23248
Randers;76126;75033;98813
Silkeborg;73980;72988;97029
Samsø;3059;3041;3723
Skanderborg;48911;48391;64086
Århus;274312;269558;355417
Ikast-Brande;31376;30961;41865
Ringkøbing-Skjern;43229;42659;56215
Hedensted;36302;35899;47068
Morsø;15876;15676;20073
Skive;35918;35454;45104
Thisted;33654;33225;43115
Viborg;75261;74281;96853
Brønderslev-Dronninglund;27919;27521;36203
Frederikshavn;46811;46234;58858
Vesthimmerlands;27866;27548;36334
Læsø;1462;1449;1779
Rebild;23238;22956;30644
Mariagerfjord;32684;32273;41564
Jammerbugt;29707;29310;38174
Ålborg;172673;169807;221226
Hjørring;50473;49781;63880
