"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;16;3;297602;0.0;0.0
0-9;M;13;3;314050;0.0;0.0
10-19;K;206989;200057;330446;62.6;60.5
10-19;M;214898;206750;346779;62.0;59.6
20-29;K;298811;289655;382546;78.1;75.7
20-29;M;305542;294474;398656;76.6;73.9
30-39;K;278095;269121;348529;79.8;77.2
30-39;M;281000;273525;361854;77.7;75.6
40-49;K;331097;327278;369232;89.7;88.6
40-49;M;322209;318443;369527;87.2;86.2
50-59;K;373075;370751;400750;93.1;92.5
50-59;M;373950;371688;404561;92.4;91.9
60-69;K;325982;324897;341526;95.4;95.1
60-69;M;316173;315173;331489;95.4;95.1
70-79;K;295947;295421;304997;97.0;96.9
70-79;M;267510;267077;275485;97.1;96.9
80-89;K;136348;135983;140918;96.8;96.5
80-89;M;101654;101438;104484;97.3;97.1
90+;K;30777;30580;32378;95.1;94.4
90+;M;13070;13006;13539;96.5;96.1
