"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16970;48
AstraZeneca Covid-19 vaccine;Midtjylland;33914;133
AstraZeneca Covid-19 vaccine;Syddanmark;30710;402
AstraZeneca Covid-19 vaccine;Hovedstaden;46001;747
AstraZeneca Covid-19 vaccine;Sjælland;23982;429
Janssen COVID-19 vaccine;Nordjylland;3646;3646
Janssen COVID-19 vaccine;Midtjylland;9845;9845
Janssen COVID-19 vaccine;Syddanmark;7511;7511
Janssen COVID-19 vaccine;Hovedstaden;22494;22494
Janssen COVID-19 vaccine;Sjælland;2812;2812
Moderna Covid-19 Vaccine;Nordjylland;70079;68828
Moderna Covid-19 Vaccine;Midtjylland;121957;119341
Moderna Covid-19 Vaccine;Syddanmark;130980;157110
Moderna Covid-19 Vaccine;Hovedstaden;147943;143555
Moderna Covid-19 Vaccine;Sjælland;82099;102584
Pfizer BioNTech Covid-19 vacc;Nordjylland;371668;383258
Pfizer BioNTech Covid-19 vacc;Midtjylland;868109;889768
Pfizer BioNTech Covid-19 vacc;Syddanmark;774991;766297
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1171550;1195829
Pfizer BioNTech Covid-19 vacc;Sjælland;535895;530686
