"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90444;0.0;0.0
0-2;M;1;0;95345;0.0;0.0
3-5;K;3;1;91101;0.0;0.0
3-5;M;4;2;96309;0.0;0.0
6-11;K;18;8;179561;0.0;0.0
6-11;M;19;10;188967;0.0;0.0
12-15;K;99064;94175;140907;70.3;66.8
12-15;M;104433;99240;148307;70.4;66.9
16-19;K;118697;116484;136819;86.8;85.1
16-19;M;120651;117472;142098;84.9;82.7
20-39;K;577011;558966;731180;78.9;76.4
20-39;M;585567;567157;759535;77.1;74.7
40-64;K;877333;870586;952144;92.1;91.4
40-64;M;867145;860558;954157;90.9;90.2
65-79;K;449991;449061;465584;96.7;96.5
65-79;M;413607;412813;427815;96.7;96.5
80+;K;155012;154463;161184;96.2;95.8
80+;M;104592;104325;107891;96.9;96.7
