Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     139 (51);     134 (49);     273
10-19;     287 (55);     236 (45);     523
20-29;     983 (62);     602 (38);   1.585
30-39;   1.009 (61);     641 (39);   1.650
40-49;   1.218 (60);     808 (40);   2.026
50-59;   1.255 (60);     843 (40);   2.098
60-69;     660 (50);     669 (50);   1.329
70-79;     440 (45);     529 (55);     969
80-89;     446 (57);     333 (43);     779
90+;     179 (72);      69 (28);     248
I alt;   6.616 (58);   4.864 (42);  11.480
