"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-08-29;Hovedstaden;K;701208;659509;700623;657731;585;1778
2021-08-29;Hovedstaden;M;659300;621492;658823;620002;477;1490
2021-08-29;Midtjylland;K;514537;485305;514403;484872;134;433
2021-08-29;Midtjylland;M;503513;474697;503399;474242;114;455
2021-08-29;Nordjylland;K;228629;218078;228421;217302;208;776
2021-08-29;Nordjylland;M;227622;216193;227428;215184;194;1009
2021-08-29;Sjælland;K;323423;309145;323277;308491;146;654
2021-08-29;Sjælland;M;312245;298118;312079;297452;166;666
2021-08-29;Syddanmark;K;470651;444469;470307;443147;344;1322
2021-08-29;Syddanmark;M;458776;431038;458423;429582;353;1456
