"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;458504;425590;640322
Frederiksberg;79427;74867;103208
Ballerup;35652;33646;49155
Brøndby;23382;22112;35463
Dragør;11071;10520;14597
Gentofte;56175;53266;74298
Gladsaxe;49920;46966;68986
Glostrup;16720;15792;23536
Herlev;20574;19286;28809
Albertslund;18338;17103;27336
Hvidovre;37519;35463;53198
Høje-Taastrup;35327;33242;52595
Lyngby-Taarbæk;43780;41308;57155
Rødovre;28835;27160;41190
Ishøj;14288;13340;23003
Tårnby;31006;29269;42632
Vallensbæk;11285;10686;16536
Furesø;30737;29081;41329
Allerød;20064;19262;25895
Fredensborg;30496;29195;41076
Helsingør;47620;45562;63159
Hillerød;39671;38061;52417
Hørsholm;19484;18665;24776
Rudersdal;44068;41692;57231
Egedal;33495;31709;44124
Frederikssund;35572;33851;45817
Greve;36717;34960;50631
Køge;46038;43985;61639
Frederiksværk-Hundested;24130;23249;31495
Roskilde;68344;64642;89074
Solrød;17549;16784;23587
Gribskov;31768;30643;41288
Odsherred;25844;24873;32982
Holbæk;55309;52528;72671
Faxe;27803;26832;37054
Kalundborg;36661;35032;48429
Ringsted;25544;24354;35109
Slagelse;59108;56230;79546
Stevns;17812;17157;23298
Sorø;22912;21894;29999
Lejre;21666;20721;28596
Lolland;30400;29319;40279
Næstved;63105;60295;83614
Guldborgsund;46122;44341;60377
Vordingborg;34734;33316;45376
Bornholm;31600;30415;39766
Middelfart;30705;29404;39445
Assens;32035;29993;40915
Faaborg-Midtfyn;40233;38210;51846
Kerteminde;18843;17999;23982
Nyborg;25151;23716;32122
Odense;156233;146379;205037
Svendborg;45810;43890;59049
Nordfyns;22664;21578;29663
Langeland;9874;9386;12344
Ærø;4984;4808;6020
Haderslev;41314;38364;55329
Billund;20142;19063;26586
Sønderborg;56529;53896;73609
Tønder;27518;25556;36944
Esbjerg;87096;80541;115402
Fanø;2760;2633;3443
Varde;37472;35385;49703
Vejen;31460;29947;42744
Aabenraa;43049;41125;58498
Fredericia;38769;36948;51528
Horsens;68689;65279;93357
Kolding;69026;64793;93200
Vejle;87760;81893;118195
Herning;67467;63291;89186
Holstebro;44711;41897;58565
Lemvig;15279;14607;19401
Struer;16297;15349;20784
Syddjurs;33939;32075;43523
Norddjurs;28917;27511;37010
Favrskov;37132;35089;48732
Odder;18268;17553;23199
Randers;74905;70598;98615
Silkeborg;72625;68474;96666
Samsø;3034;2942;3730
Skanderborg;48270;45913;63969
Århus;269340;250471;354201
Ikast-Brande;30942;29223;41882
Ringkøbing-Skjern;42683;40299;56191
Hedensted;35902;34458;47064
Morsø;15693;15135;20046
Skive;35463;34131;45113
Thisted;33333;32037;43151
Viborg;74187;70842;96850
Brønderslev-Dronninglund;27517;25870;36179
Frederikshavn;46372;44679;58962
Vesthimmerlands;27597;26390;36398
Læsø;1461;1423;1789
Rebild;22949;21483;30594
Mariagerfjord;32323;30617;41564
Jammerbugt;29262;27752;38146
Ålborg;169877;161247;220540
Hjørring;49867;47638;63891
