"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;458504;425590;71.6;66.5;640322
Frederiksberg;79427;74867;77.0;72.5;103208
Ballerup;35652;33646;72.5;68.4;49155
Brøndby;23382;22112;65.9;62.4;35463
Dragør;11071;10520;75.8;72.1;14597
Gentofte;56175;53266;75.6;71.7;74298
Gladsaxe;49920;46966;72.4;68.1;68986
Glostrup;16720;15792;71.0;67.1;23536
Herlev;20574;19286;71.4;66.9;28809
Albertslund;18338;17103;67.1;62.6;27336
Hvidovre;37519;35463;70.5;66.7;53198
Høje Tåstrup;35327;33242;67.2;63.2;52595
Lyngby-Taarbæk;43780;41308;76.6;72.3;57155
Rødovre;28835;27160;70.0;65.9;41190
Ishøj;14288;13340;62.1;58.0;23003
Tårnby;31006;29269;72.7;68.7;42632
Vallensbæk;11285;10686;68.2;64.6;16536
Furesø;30737;29081;74.4;70.4;41329
Allerød;20064;19262;77.5;74.4;25895
Fredensborg;30496;29195;74.2;71.1;41076
Helsingør;47620;45562;75.4;72.1;63159
Hillerød;39671;38061;75.7;72.6;52417
Hørsholm;19484;18665;78.6;75.3;24776
Rudersdal;44068;41692;77.0;72.8;57231
Egedal;33495;31709;75.9;71.9;44124
Frederikssund;35572;33851;77.6;73.9;45817
Greve;36717;34960;72.5;69.0;50631
Køge;46038;43985;74.7;71.4;61639
Halsnæs;24130;23249;76.6;73.8;31495
Roskilde;68344;64642;76.7;72.6;89074
Solrød;17549;16784;74.4;71.2;23587
Gribskov;31768;30643;76.9;74.2;41288
Odsherred;25844;24873;78.4;75.4;32982
Holbæk;55309;52528;76.1;72.3;72671
Faxe;27803;26832;75.0;72.4;37054
Kalundborg;36661;35032;75.7;72.3;48429
Ringsted;25544;24354;72.8;69.4;35109
Slagelse;59108;56230;74.3;70.7;79546
Stevns;17812;17157;76.5;73.6;23298
Sorø;22912;21894;76.4;73.0;29999
Lejre;21666;20721;75.8;72.5;28596
Lolland;30400;29319;75.5;72.8;40279
Næstved;63105;60295;75.5;72.1;83614
Guldborgsund;46122;44341;76.4;73.4;60377
Vordingborg;34734;33316;76.5;73.4;45376
Bornholm;31600;30415;79.5;76.5;39766
Middelfart;30705;29404;77.8;74.5;39445
Assens;32035;29993;78.3;73.3;40915
Faaborg-Midtfyn;40233;38210;77.6;73.7;51846
Kerteminde;18843;17999;78.6;75.1;23982
Nyborg;25151;23716;78.3;73.8;32122
Odense;156233;146379;76.2;71.4;205037
Svendborg;45810;43890;77.6;74.3;59049
Nordfyn;22664;21578;76.4;72.7;29663
Langeland;9874;9386;80.0;76.0;12344
Ærø;4984;4808;82.8;79.9;6020
Haderslev;41314;38364;74.7;69.3;55329
Billund;20142;19063;75.8;71.7;26586
Sønderborg;56529;53896;76.8;73.2;73609
Tønder;27518;25556;74.5;69.2;36944
Esbjerg;87096;80541;75.5;69.8;115402
Fanø;2760;2633;80.2;76.5;3443
Varde;37472;35385;75.4;71.2;49703
Vejen;31460;29947;73.6;70.1;42744
Aabenraa;43049;41125;73.6;70.3;58498
Fredericia;38769;36948;75.2;71.7;51528
Horsens;68689;65279;73.6;69.9;93357
Kolding;69026;64793;74.1;69.5;93200
Vejle;87760;81893;74.3;69.3;118195
Herning;67467;63291;75.6;71.0;89186
Holstebro;44711;41897;76.3;71.5;58565
Lemvig;15279;14607;78.8;75.3;19401
Struer;16297;15349;78.4;73.9;20784
Syddjurs;33939;32075;78.0;73.7;43523
Norddjurs;28917;27511;78.1;74.3;37010
Favrskov;37132;35089;76.2;72.0;48732
Odder;18268;17553;78.7;75.7;23199
Randers;74905;70598;76.0;71.6;98615
Silkeborg;72625;68474;75.1;70.8;96666
Samsø;3034;2942;81.3;78.9;3730
Skanderborg;48270;45913;75.5;71.8;63969
Århus;269340;250471;76.0;70.7;354201
Ikast-Brande;30942;29223;73.9;69.8;41882
Ringkøbing-Skjern;42683;40299;76.0;71.7;56191
Hedensted;35902;34458;76.3;73.2;47064
Morsø;15693;15135;78.3;75.5;20046
Skive;35463;34131;78.6;75.7;45113
Thisted;33333;32037;77.2;74.2;43151
Viborg;74187;70842;76.6;73.1;96850
Brønderslev;27517;25870;76.1;71.5;36179
Frederikshavn;46372;44679;78.6;75.8;58962
Vesthimmerland;27597;26390;75.8;72.5;36398
Læsø;1461;1423;81.7;79.5;1789
Rebild;22949;21483;75.0;70.2;30594
Mariagerfjord;32323;30617;77.8;73.7;41564
Jammerbugt;29262;27752;76.7;72.8;38146
Aalborg;169877;161247;77.0;73.1;220540
Hjørring;49867;47638;78.1;74.6;63891
