"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;456251;434271;77.2;73.4;591260
Midtjylland;1018050;960002;76.1;71.7;1338038
Syddanmark;929427;875507;75.8;71.4;1225604
Hovedstaden;1360508;1281001;73.1;68.9;1860392
Sjælland;635668;607263;75.5;72.1;842261
