Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     239 (49);     250 (51);     489
10-19;     540 (55);     442 (45);     982
20-29;   1.373 (59);     965 (41);   2.338
30-39;   1.261 (57);     970 (43);   2.231
40-49;   1.489 (58);   1.092 (42);   2.581
50-59;   1.520 (57);   1.144 (43);   2.664
60-69;     783 (48);     838 (52);   1.621
70-79;     544 (46);     633 (54);   1.177
80-89;     490 (57);     369 (43);     859
90+;     197 (72);      75 (28);     272
I alt;   8.436 (55);   6.778 (45);  15.214
