Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     229 (50);     226 (50);     455
10-19;     499 (55);     413 (45);     912
20-29;   1.324 (59);     910 (41);   2.234
30-39;   1.240 (57);     940 (43);   2.180
40-49;   1.464 (58);   1.070 (42);   2.534
50-59;   1.495 (57);   1.111 (43);   2.606
60-69;     779 (49);     822 (51);   1.601
70-79;     538 (46);     625 (54);   1.163
80-89;     490 (57);     368 (43);     858
90+;     197 (72);      75 (28);     272
I alt;   8.255 (56);   6.560 (44);  14.815
