Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     171 (52);     157 (48);     328
10-19;     321 (54);     270 (46);     591
20-29;   1.063 (62);     662 (38);   1.725
30-39;   1.080 (61);     699 (39);   1.779
40-49;   1.281 (60);     854 (40);   2.135
50-59;   1.325 (60);     889 (40);   2.214
60-69;     702 (50);     709 (50);   1.411
70-79;     472 (46);     564 (54);   1.036
80-89;     469 (57);     349 (43);     818
90+;     185 (72);      72 (28);     257
I alt;   7.069 (57);   5.225 (43);  12.294
