"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-29,Hovedstaden,K,241542,115294,238389,110313,3153,4981
2021-04-29,Hovedstaden,M,165589,77185,162360,72806,3229,4379
2021-04-29,Midtjylland,K,175218,87144,170477,83437,4741,3707
2021-04-29,Midtjylland,M,118063,57909,113781,54399,4282,3510
2021-04-29,Nordjylland,K,80591,39609,79849,38603,742,1006
2021-04-29,Nordjylland,M,54352,26428,53714,25567,638,861
2021-04-29,Sjælland,K,115504,57694,112723,56998,2781,696
2021-04-29,Sjælland,M,80544,42888,78390,42262,2154,626
2021-04-29,Syddanmark,K,162845,75349,159860,73256,2985,2093
2021-04-29,Syddanmark,M,113321,51760,110613,49759,2708,2001
