"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16864,2
AstraZeneca Covid-19 vaccine,Midtjylland,33652,8
AstraZeneca Covid-19 vaccine,Syddanmark,30424,251
AstraZeneca Covid-19 vaccine,Hovedstaden,45149,41
AstraZeneca Covid-19 vaccine,Sjælland,23858,337
Moderna Covid-19 Vaccine,Nordjylland,6985,4266
Moderna Covid-19 Vaccine,Midtjylland,20724,10639
Moderna Covid-19 Vaccine,Syddanmark,18993,11609
Moderna Covid-19 Vaccine,Hovedstaden,28944,18824
Moderna Covid-19 Vaccine,Sjælland,17352,8711
Pfizer BioNTech Covid-19 vacc,Nordjylland,111094,61769
Pfizer BioNTech Covid-19 vacc,Midtjylland,238905,134406
Pfizer BioNTech Covid-19 vacc,Syddanmark,226749,115249
Pfizer BioNTech Covid-19 vacc,Hovedstaden,333038,173614
Pfizer BioNTech Covid-19 vacc,Sjælland,154838,91534
