"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-01-24,1082,Midtjylland,78,1082
2021-01-24,1083,Syddanmark,2,1083
2021-01-24,1084,Hovedstaden,479,1084
2021-01-24,1085,Sjælland,18,1085
2021-01-25,1081,Nordjylland,23,1081
2021-01-25,1082,Midtjylland,8,1082
2021-01-25,1083,Syddanmark,140,1083
2021-01-25,1084,Hovedstaden,49,1084
2021-01-25,1085,Sjælland,56,1085
2021-01-26,1081,Nordjylland,2,1081
2021-01-26,1082,Midtjylland,9,1082
2021-01-26,1083,Syddanmark,100,1083
2021-01-26,1084,Hovedstaden,11,1084
2021-01-26,1085,Sjælland,94,1085
2021-01-27,1081,Nordjylland,1,1081
2021-01-27,1082,Midtjylland,34,1082
2021-01-27,1083,Syddanmark,83,1083
2021-01-27,1084,Hovedstaden,10,1084
2021-01-27,1085,Sjælland,74,1085
2021-01-28,1081,Nordjylland,23,1081
2021-01-28,1082,Midtjylland,13,1082
2021-01-28,1083,Syddanmark,35,1083
2021-01-28,1084,Hovedstaden,14,1084
2021-01-28,1085,Sjælland,134,1085
2021-01-29,1081,Nordjylland,63,1081
2021-01-29,1082,Midtjylland,278,1082
2021-01-29,1083,Syddanmark,71,1083
2021-01-29,1084,Hovedstaden,433,1084
2021-01-29,1085,Sjælland,253,1085
2021-01-30,1081,Nordjylland,66,1081
2021-01-30,1082,Midtjylland,178,1082
2021-01-30,1083,Syddanmark,122,1083
2021-01-30,1084,Hovedstaden,407,1084
2021-01-30,1085,Sjælland,416,1085
2021-01-31,1081,Nordjylland,96,1081
2021-01-31,1082,Midtjylland,426,1082
2021-01-31,1083,Syddanmark,139,1083
2021-01-31,1084,Hovedstaden,325,1084
2021-01-31,1085,Sjælland,220,1085
2021-02-01,1081,Nordjylland,95,1081
2021-02-01,1082,Midtjylland,89,1082
2021-02-01,1083,Syddanmark,201,1083
2021-02-01,1084,Hovedstaden,54,1084
2021-02-01,1085,Sjælland,308,1085
2021-02-02,1081,Nordjylland,16,1081
2021-02-02,1082,Midtjylland,79,1082
2021-02-02,1083,Syddanmark,538,1083
2021-02-02,1084,Hovedstaden,46,1084
2021-02-02,1085,Sjælland,1342,1085
2021-02-03,1081,Nordjylland,4,1081
2021-02-03,1082,Midtjylland,22,1082
2021-02-03,1083,Syddanmark,432,1083
2021-02-03,1084,Hovedstaden,48,1084
2021-02-03,1085,Sjælland,1024,1085
2021-02-04,1081,Nordjylland,865,1081
2021-02-04,1082,Midtjylland,47,1082
2021-02-04,1083,Syddanmark,356,1083
2021-02-04,1084,Hovedstaden,50,1084
2021-02-04,1085,Sjælland,105,1085
2021-02-05,1081,Nordjylland,793,1081
2021-02-05,1082,Midtjylland,288,1082
2021-02-05,1083,Syddanmark,229,1083
2021-02-05,1084,Hovedstaden,27,1084
2021-02-05,1085,Sjælland,246,1085
2021-02-06,1081,Nordjylland,367,1081
2021-02-06,1082,Midtjylland,18,1082
2021-02-06,1083,Syddanmark,69,1083
2021-02-06,1084,Hovedstaden,330,1084
2021-02-06,1085,Sjælland,230,1085
2021-02-07,1081,Nordjylland,722,1081
2021-02-07,1082,Midtjylland,15,1082
2021-02-07,1083,Syddanmark,101,1083
2021-02-07,1084,Hovedstaden,104,1084
2021-02-07,1085,Sjælland,954,1085
2021-02-08,1081,Nordjylland,581,1081
2021-02-08,1082,Midtjylland,227,1082
2021-02-08,1083,Syddanmark,581,1083
2021-02-08,1084,Hovedstaden,1008,1084
2021-02-08,1085,Sjælland,131,1085
2021-02-09,1081,Nordjylland,66,1081
2021-02-09,1082,Midtjylland,511,1082
2021-02-09,1083,Syddanmark,905,1083
2021-02-09,1084,Hovedstaden,1508,1084
2021-02-09,1085,Sjælland,555,1085
2021-02-10,1081,Nordjylland,54,1081
2021-02-10,1082,Midtjylland,783,1082
2021-02-10,1083,Syddanmark,1006,1083
2021-02-10,1084,Hovedstaden,501,1084
2021-02-10,1085,Sjælland,930,1085
2021-02-11,1081,Nordjylland,460,1081
2021-02-11,1082,Midtjylland,632,1082
2021-02-11,1083,Syddanmark,1233,1083
2021-02-11,1084,Hovedstaden,1549,1084
2021-02-11,1085,Sjælland,1794,1085
2021-02-12,1081,Nordjylland,1268,1081
2021-02-12,1082,Midtjylland,4617,1082
2021-02-12,1083,Syddanmark,1891,1083
2021-02-12,1084,Hovedstaden,1464,1084
2021-02-12,1085,Sjælland,2803,1085
2021-02-13,1081,Nordjylland,6,1081
2021-02-13,1082,Midtjylland,2663,1082
2021-02-13,1083,Syddanmark,1133,1083
2021-02-13,1084,Hovedstaden,51,1084
2021-02-13,1085,Sjælland,2701,1085
2021-02-14,1081,Nordjylland,262,1081
2021-02-14,1082,Midtjylland,1653,1082
2021-02-14,1083,Syddanmark,2193,1083
2021-02-14,1084,Hovedstaden,270,1084
2021-02-14,1085,Sjælland,1839,1085
2021-02-15,1081,Nordjylland,148,1081
2021-02-15,1082,Midtjylland,4385,1082
2021-02-15,1083,Syddanmark,2622,1083
2021-02-15,1084,Hovedstaden,4077,1084
2021-02-15,1085,Sjælland,2606,1085
2021-02-16,1081,Nordjylland,194,1081
2021-02-16,1082,Midtjylland,3707,1082
2021-02-16,1083,Syddanmark,1982,1083
2021-02-16,1084,Hovedstaden,4568,1084
2021-02-16,1085,Sjælland,2781,1085
2021-02-17,1081,Nordjylland,1273,1081
2021-02-17,1082,Midtjylland,2405,1082
2021-02-17,1083,Syddanmark,2304,1083
2021-02-17,1084,Hovedstaden,1146,1084
2021-02-17,1085,Sjælland,3321,1085
2021-02-18,1081,Nordjylland,1877,1081
2021-02-18,1082,Midtjylland,2181,1082
2021-02-18,1083,Syddanmark,2021,1083
2021-02-18,1084,Hovedstaden,3659,1084
2021-02-18,1085,Sjælland,1721,1085
2021-02-19,1081,Nordjylland,2139,1081
2021-02-19,1082,Midtjylland,3315,1082
2021-02-19,1083,Syddanmark,3294,1083
2021-02-19,1084,Hovedstaden,3570,1084
2021-02-19,1085,Sjælland,1566,1085
2021-02-20,1081,Nordjylland,2584,1081
2021-02-20,1082,Midtjylland,1092,1082
2021-02-20,1083,Syddanmark,2498,1083
2021-02-20,1084,Hovedstaden,2916,1084
2021-02-20,1085,Sjælland,1403,1085
2021-02-21,1081,Nordjylland,1771,1081
2021-02-21,1082,Midtjylland,1037,1082
2021-02-21,1083,Syddanmark,2926,1083
2021-02-21,1084,Hovedstaden,3217,1084
2021-02-21,1085,Sjælland,1841,1085
2021-02-22,1081,Nordjylland,789,1081
2021-02-22,1082,Midtjylland,3529,1082
2021-02-22,1083,Syddanmark,3748,1083
2021-02-22,1084,Hovedstaden,3658,1084
2021-02-22,1085,Sjælland,1786,1085
2021-02-23,1081,Nordjylland,394,1081
2021-02-23,1082,Midtjylland,5245,1082
2021-02-23,1083,Syddanmark,3172,1083
2021-02-23,1084,Hovedstaden,3665,1084
2021-02-23,1085,Sjælland,1920,1085
2021-02-24,1081,Nordjylland,593,1081
2021-02-24,1082,Midtjylland,3677,1082
2021-02-24,1083,Syddanmark,3106,1083
2021-02-24,1084,Hovedstaden,4417,1084
2021-02-24,1085,Sjælland,1900,1085
2021-02-25,1081,Nordjylland,1972,1081
2021-02-25,1082,Midtjylland,2102,1082
2021-02-25,1083,Syddanmark,2779,1083
2021-02-25,1084,Hovedstaden,6160,1084
2021-02-25,1085,Sjælland,1459,1085
2021-02-26,1081,Nordjylland,5379,1081
2021-02-26,1082,Midtjylland,8591,1082
2021-02-26,1083,Syddanmark,8791,1083
2021-02-26,1084,Hovedstaden,8931,1084
2021-02-26,1085,Sjælland,4301,1085
2021-02-27,1081,Nordjylland,6,1081
2021-02-27,1082,Midtjylland,685,1082
2021-02-27,1083,Syddanmark,1989,1083
2021-02-27,1084,Hovedstaden,3133,1084
2021-02-27,1085,Sjælland,856,1085
2021-02-28,1081,Nordjylland,2252,1081
2021-02-28,1082,Midtjylland,979,1082
2021-02-28,1083,Syddanmark,2050,1083
2021-02-28,1084,Hovedstaden,4818,1084
2021-02-28,1085,Sjælland,894,1085
2021-03-01,1081,Nordjylland,2672,1081
2021-03-01,1082,Midtjylland,4475,1082
2021-03-01,1083,Syddanmark,3784,1083
2021-03-01,1084,Hovedstaden,6264,1084
2021-03-01,1085,Sjælland,2573,1085
2021-03-02,1081,Nordjylland,756,1081
