"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,96470,43731,638834
Frederiksberg,22353,11040,103241
Ballerup,12169,5957,49079
Brøndby,8525,4437,35354
Dragør,4162,1958,14562
Gentofte,18504,9226,74309
Gladsaxe,15403,7308,68961
Glostrup,5719,3002,23495
Herlev,7122,3438,28822
Albertslund,6350,3200,27223
Hvidovre,12309,6364,53314
Høje-Taastrup,11685,6069,52223
Lyngby-Taarbæk,13693,6837,57068
Rødovre,9213,4520,41169
Ishøj,4812,2318,23062
Tårnby,10179,4849,42705
Vallensbæk,4033,2122,16562
Furesø,10895,5256,41035
Allerød,6685,3167,25895
Fredensborg,11501,5123,41016
Helsingør,18400,8173,63099
Hillerød,13602,6598,51826
Hørsholm,7859,3741,24836
Rudersdal,15232,7651,57029
Egedal,10449,4656,43881
Frederikssund,13157,6241,45652
Greve,11657,5587,50591
Køge,13173,6718,61582
Frederiksværk-Hundested,9989,4446,31470
Roskilde,19701,10195,88735
Solrød,5044,2470,23498
Gribskov,13146,5516,41041
Odsherred,9748,4392,32922
Holbæk,16886,8519,72137
Faxe,8010,4077,36831
Kalundborg,11349,5738,48418
Ringsted,6491,3401,34992
Slagelse,18414,10037,79352
Stevns,5769,2931,23253
Sorø,6889,3672,29941
Lejre,6746,3329,28456
Lolland,10224,5294,40363
Næstved,18650,10038,83351
Guldborgsund,15846,8457,60386
Vordingborg,11451,5727,45256
Bornholm,13515,5535,39738
Middelfart,9785,4612,39327
Assens,9997,4188,40889
Faaborg-Midtfyn,12871,5421,51711
Kerteminde,6208,2823,23838
Nyborg,7879,3558,32013
Odense,42944,19812,204901
Svendborg,15255,7165,58835
Nordfyns,7124,3126,29547
Langeland,3665,1644,12343
Ærø,1777,783,6000
Haderslev,11668,4975,55354
Billund,5391,2828,26517
Sønderborg,16515,7647,73782
Tønder,8000,3451,37016
Esbjerg,27501,13340,115627
Fanø,1134,394,3440
Varde,11639,5658,49714
Vejen,8922,4576,42813
Aabenraa,12341,4816,58595
Fredericia,11445,5635,51387
Horsens,18948,8794,92712
Kolding,19318,8854,93129
Vejle,24787,11803,117667
Herning,20146,10890,89384
Holstebro,14040,7238,58633
Lemvig,5324,2914,19539
Struer,5440,3077,20838
Syddjurs,11461,5014,43404
Norddjurs,10001,4752,36944
Favrskov,10737,4756,48523
Odder,5806,2864,23069
Randers,22225,10599,98414
Silkeborg,21343,10749,96045
Samsø,1177,638,3709
Skanderborg,13291,6402,63535
Århus,65284,31361,352326
Ikast-Brande,9093,4615,41613
Ringkøbing-Skjern,13311,7303,56219
Hedensted,10665,5012,46908
Morsø,5325,2846,20088
Skive,11749,6257,45356
Thisted,10134,4848,43150
Viborg,23240,11818,96695
Brønderslev-Dronninglund,8245,4084,36111
Frederikshavn,15150,7925,58971
Vesthimmerlands,9364,4566,36348
Læsø,841,393,1780
Rebild,6379,3043,30497
Mariagerfjord,9698,4862,41583
Jammerbugt,8905,3988,38189
Ålborg,44944,21860,219552
Hjørring,15958,7622,64080
