"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,163340,89381,638880
Frederiksberg,35564,21091,103152
Ballerup,20080,11338,49078
Brøndby,13889,7976,35460
Dragør,6728,3796,14597
Gentofte,31750,17427,74262
Gladsaxe,25465,14259,68927
Glostrup,9242,5348,23479
Herlev,11427,6625,28808
Albertslund,10256,5973,27203
Hvidovre,20047,11514,53257
Høje-Taastrup,19292,11084,52349
Lyngby-Taarbæk,22536,12831,57086
Rødovre,15474,8661,41187
Ishøj,8061,4564,23052
Tårnby,16887,9142,42695
Vallensbæk,6374,3862,16590
Furesø,17625,10177,41122
Allerød,11242,6318,25915
Fredensborg,18193,10743,41034
Helsingør,28902,16961,63099
Hillerød,21848,12823,51920
Hørsholm,12171,7438,24807
Rudersdal,24751,14400,57094
Egedal,18269,9790,43997
Frederikssund,21583,12527,45770
Greve,19021,10952,50629
Køge,22601,12821,61629
Frederiksværk-Hundested,15298,9431,31486
Roskilde,33804,19070,88804
Solrød,8577,4835,23465
Gribskov,20535,12287,41129
Odsherred,16010,9275,32952
Holbæk,30052,16257,72259
Faxe,14476,7768,36879
Kalundborg,21043,10931,48357
Ringsted,11918,6387,35027
Slagelse,33834,18089,79508
Stevns,9682,5487,23253
Sorø,12803,6772,29915
Lejre,11711,6494,28462
Lolland,18917,10012,40351
Næstved,33631,18334,83419
Guldborgsund,28392,15370,60412
Vordingborg,20662,11057,45291
Bornholm,21474,12482,39756
Middelfart,15321,9875,39353
Assens,16130,9666,40865
Faaborg-Midtfyn,20127,12691,51706
Kerteminde,9815,6051,23861
Nyborg,12149,7825,32040
Odense,67396,41668,204846
Svendborg,23329,15198,58853
Nordfyns,11551,6983,29560
Langeland,5799,3841,12336
Ærø,3171,1752,6010
Haderslev,18578,11880,55359
Billund,8898,5689,26553
Sønderborg,29248,16782,73769
Tønder,12836,7935,37001
Esbjerg,46558,25880,115582
Fanø,1747,1092,3442
Varde,20335,11638,49736
Vejen,14270,9320,42824
Aabenraa,21923,13116,58565
Fredericia,17759,11734,51476
Horsens,29846,17881,92866
Kolding,28882,19218,93046
Vejle,39451,24369,117783
Herning,31391,18258,89388
Holstebro,21747,12418,58683
Lemvig,8485,4839,19520
Struer,8908,5301,20817
Syddjurs,17380,10772,43447
Norddjurs,15061,9342,36990
Favrskov,16334,10070,48575
Odder,9066,5540,23062
Randers,33869,21869,98459
Silkeborg,34340,19666,96171
Samsø,2002,1175,3696
Skanderborg,21230,12379,63680
Århus,103810,60510,352318
Ikast-Brande,14371,8371,41697
Ringkøbing-Skjern,22472,12212,56291
Hedensted,16871,10034,46994
Morsø,8069,5301,20086
Skive,18787,11340,45343
Thisted,16167,10312,43122
Viborg,35177,21662,96670
Brønderslev-Dronninglund,12641,8273,36093
Frederikshavn,24337,15102,58979
Vesthimmerlands,14397,9062,36363
Læsø,1401,832,1780
Rebild,10178,6399,30517
Mariagerfjord,15255,10010,41582
Jammerbugt,14062,9022,38175
Ålborg,68299,44062,219477
Hjørring,23907,15807,64100
