Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.590.828; 136.952;   7.662;   1.342
Sjælland; 666.706;  39.168;   2.643;     406
Syddanmark; 994.231;  40.739;   1.857;     223
Midtjylland;1.086.173;  51.070;   2.284;     358
Nordjylland; 505.045;  21.539;   1.010;     189
I alt i Danmark;4.842.983; 289.468;  15.456;   2.518
