Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     189 (51);     181 (49);     370
10-19;     356 (55);     292 (45);     648
20-29;   1.117 (61);     706 (39);   1.823
30-39;   1.124 (60);     750 (40);   1.874
40-49;   1.329 (60);     899 (40);   2.228
50-59;   1.368 (59);     936 (41);   2.304
60-69;     728 (50);     732 (50);   1.460
70-79;     500 (46);     592 (54);   1.092
80-89;     480 (57);     358 (43);     838
90+;     190 (72);      73 (28);     263
I alt;   7.381 (57);   5.519 (43);  12.900
