Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;4823;8;4;50;4;50;2;2;2;293
2021-02-02;4639;9;5;55,5555555555556;4;44,4444444444444;5;0;5;308
2021-02-03;4865;10;6;60;4;40;6;0;6;343
2021-02-04;4490;6;3;50;3;50;3;0;5;322
2021-02-05;4357;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2585;10;6;60;4;40;6;0;3;262
2021-02-07;3019;14;7;50;7;50;7;0;6;326
2021-02-08;6976;13;7;53,8461538461539;6;46,1538461538462;6;1;5;439
2021-02-09;6080;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7067;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9115;13;7;53,8461538461539;6;46,1538461538462;6;1;3;537
2021-02-12;9168;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4832;15;8;53,3333333333333;7;46,6666666666667;7;1;6;339
2021-02-14;4793;19;10;52,6315789473684;9;47,3684210526316;7;3;9;435
2021-02-15;17129;48;24;50;24;50;17;7;25;1155
2021-02-16;16898;59;44;74,5762711864407;15;25,4237288135593;33;10;19;1340
2021-02-17;26115;85;52;61,1764705882353;33;38,8235294117647;43;9;20;2014
2021-02-18;30041;51;40;78,4313725490196;11;21,5686274509804;33;4;30;1803
2021-02-19;34134;86;54;62,7906976744186;32;37,2093023255814;42;12;37;1829
2021-02-20;21621;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20232;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;25710;100;75;75;25;25;54;19;27;1899
2021-02-23;29540;100;70;70;30;30;58;10;34;2047
2021-02-24;29773;91;57;62,6373626373626;34;37,3626373626374;43;12;33;2122
2021-02-25;28376;85;53;62,3529411764706;32;37,6470588235294;44;9;20;1630
2021-02-26;36254;111;70;63,0630630630631;41;36,9369369369369;54;16;41;1826
2021-02-27;22492;92;68;73,9130434782609;24;26,0869565217391;58;9;17;1560
2021-02-28;24337;111;83;74,7747747747748;28;25,2252252252252;65;18;29;1974
2021-03-01;35345;95;72;75,7894736842105;23;24,2105263157895;51;19;17;2206
2021-03-02;38268;111;88;79,2792792792793;23;20,7207207207207;61;25;25;2082
2021-03-03;44006;105;73;69,5238095238095;32;30,4761904761905;36;37;43;3336
2021-03-04;56230;178;147;82,5842696629213;31;17,4157303370787;48;95;31;3609
2021-03-05;64484;168;133;79,1666666666667;35;20,8333333333333;44;88;55;4107
2021-03-06;38483;132;102;77,2727272727273;30;22,7272727272727;51;51;59;3055
2021-03-07;40340;204;167;81,8627450980392;37;18,1372549019608;58;105;61;3522
2021-03-08;64259;233;200;85,8369098712447;33;14,1630901287554;79;121;79;3929
2021-03-09;62931;190;169;88,9473684210526;21;11,0526315789474;62;106;65;3416
2021-03-10;58057;236;199;84,3220338983051;37;15,6779661016949;78;121;66;3847
2021-03-11;59186;170;148;87,0588235294118;22;12,9411764705882;51;97;43;3532
