Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.541.919; 117.834;   7.018;   1.321
Sjælland; 642.828;  33.830;   2.431;     402
Syddanmark; 959.925;  35.644;   1.710;     218
Midtjylland;1.047.265;  43.021;   2.065;     352
Nordjylland; 491.952;  16.873;     884;     184
I alt i Danmark;4.683.889; 247.202;  14.108;   2.477
