Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.115.980;  32.324;   2.320;     441
Sjælland; 429.843;   8.174;     802;     138
Syddanmark; 621.274;   8.731;     519;      56
Midtjylland; 700.569;  12.930;     711;      89
Nordjylland; 367.481;   5.386;     318;      54
I alt i Danmark;3.235.147;  67.545;   4.670;     778
