Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 165.909 (49); 175.924 (51); 341.833
10-19; 259.876 (50); 257.734 (50); 517.610
20-29; 252.340 (53); 225.384 (47); 477.724
30-39; 243.951 (53); 212.966 (47); 456.917
40-49; 240.010 (54); 206.985 (46); 446.995
50-59; 198.208 (53); 178.912 (47); 377.120
60-69; 121.149 (52); 111.490 (48); 232.639
70-79;  70.512 (50);  69.604 (50); 140.116
80-89;  25.779 (53);  22.733 (47);  48.512
90+;   7.551 (69);   3.362 (31);  10.913
I alt;1.585.285 (52);1.465.094 (48);3.050.379
