Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 155.612 (49); 164.780 (51); 320.392
10-19; 236.465 (50); 236.254 (50); 472.719
20-29; 218.211 (53); 196.907 (47); 415.118
30-39; 214.837 (53); 188.533 (47); 403.370
40-49; 209.359 (53); 183.368 (47); 392.727
50-59; 164.110 (52); 151.202 (48); 315.312
60-69;  95.344 (52);  89.541 (48); 184.885
70-79;  51.482 (50);  51.717 (50); 103.199
80-89;  18.912 (54);  16.319 (46);  35.231
90+;   5.723 (69);   2.546 (31);   8.269
I alt;1.370.073 (52);1.281.193 (48);2.651.267
