"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90569;0.0;0.0
0-2;M;1;0;95613;0.0;0.0
3-5;K;47;1;91064;0.1;0.0
3-5;M;43;2;96191;0.0;0.0
6-11;K;13294;12;179573;7.4;0.0
6-11;M;14256;14;188881;7.5;0.0
12-15;K;112470;103314;143808;78.2;71.8
12-15;M;118111;108638;151477;78.0;71.7
16-19;K;122217;118642;137093;89.1;86.5
16-19;M;124606;120072;142227;87.6;84.4
20-39;K;606710;579249;732392;82.8;79.1
20-39;M;612466;584344;761258;80.5;76.8
40-64;K;886485;876927;952355;93.1;92.1
40-64;M;877126;866761;954431;91.9;90.8
65-79;K;449985;448775;464614;96.9;96.6
65-79;M;413300;412184;426440;96.9;96.7
80+;K;153372;152820;159146;96.4;96.0
80+;M;103172;102883;106256;97.1;96.8
