"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;474482;461782;591937
Midtjylland;1068244;1035154;1341718
Syddanmark;975230;946203;1228277
Hovedstaden;1426292;1385353;1868214
Sjælland;663422;646148;843242
