"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;512;0
Hovedstaden;0-9;M;519;1
Hovedstaden;10-19;K;69073;62959
Hovedstaden;10-19;M;71054;64625
Hovedstaden;20-29;K;119027;113980
Hovedstaden;20-29;M;112716;107305
Hovedstaden;30-39;K;108214;103509
Hovedstaden;30-39;M;106115;102096
Hovedstaden;40-49;K;111643;109521
Hovedstaden;40-49;M;108465;106440
Hovedstaden;50-59;K;112783;111663
Hovedstaden;50-59;M;111832;110642
Hovedstaden;60-69;K;88866;88376
Hovedstaden;60-69;M;84274;83781
Hovedstaden;70-79;K;82248;81986
Hovedstaden;70-79;M;68508;68313
Hovedstaden;80-89;K;36293;36157
Hovedstaden;80-89;M;23884;23805
Hovedstaden;90+;K;7588;7530
Hovedstaden;90+;M;2678;2664
Midtjylland;0-9;K;907;1
Midtjylland;0-9;M;953;0
Midtjylland;10-19;K;61591;54595
Midtjylland;10-19;M;63330;55771
Midtjylland;20-29;K;77802;74589
Midtjylland;20-29;M;79687;75998
Midtjylland;30-39;K;66684;63907
Midtjylland;30-39;M;67836;65151
Midtjylland;40-49;K;77314;76276
Midtjylland;40-49;M;76348;75120
Midtjylland;50-59;K;84206;83631
Midtjylland;50-59;M;84625;84024
Midtjylland;60-69;K;74329;74073
Midtjylland;60-69;M;72837;72585
Midtjylland;70-79;K;63950;63855
Midtjylland;70-79;M;59205;59099
Midtjylland;80-89;K;27753;27674
Midtjylland;80-89;M;20966;20923
Midtjylland;90+;K;5535;5506
Midtjylland;90+;M;2386;2376
Nordjylland;0-9;K;73;0
Nordjylland;0-9;M;96;0
Nordjylland;10-19;K;24715;22578
Nordjylland;10-19;M;25978;23665
Nordjylland;20-29;K;30675;29145
Nordjylland;20-29;M;34562;32684
Nordjylland;30-39;K;27221;26013
Nordjylland;30-39;M;28194;26929
Nordjylland;40-49;K;32217;31749
Nordjylland;40-49;M;32314;31753
Nordjylland;50-59;K;38343;38025
Nordjylland;50-59;M;38745;38405
Nordjylland;60-69;K;35770;35623
Nordjylland;60-69;M;35241;35100
Nordjylland;70-79;K;31677;31621
Nordjylland;70-79;M;29812;29748
Nordjylland;80-89;K;14067;14031
Nordjylland;80-89;M;10752;10709
Nordjylland;90+;K;2788;2773
Nordjylland;90+;M;1242;1231
Sjælland;0-9;K;274;1
Sjælland;0-9;M;291;1
Sjælland;10-19;K;35469;32723
Sjælland;10-19;M;37602;34437
Sjælland;20-29;K;29346;27687
Sjælland;20-29;M;32188;30337
Sjælland;30-39;K;36399;34541
Sjælland;30-39;M;35223;33534
Sjælland;40-49;K;50224;49360
Sjælland;40-49;M;48027;47088
Sjælland;50-59;K;59756;59225
Sjælland;50-59;M;59897;59341
Sjælland;60-69;K;52760;52515
Sjælland;60-69;M;51295;51040
Sjælland;70-79;K;49445;49331
Sjælland;70-79;M;45015;44905
Sjælland;80-89;K;19997;19924
Sjælland;80-89;M;15095;15061
Sjælland;90+;K;3628;3612
Sjælland;90+;M;1491;1485
Syddanmark;0-9;K;864;2
Syddanmark;0-9;M;963;1
Syddanmark;10-19;K;54559;49112
Syddanmark;10-19;M;56231;50225
Syddanmark;20-29;K;55418;52650
Syddanmark;20-29;M;59755;56642
Syddanmark;30-39;K;55924;53228
Syddanmark;30-39;M;56190;53668
Syddanmark;40-49;K;70609;69528
Syddanmark;40-49;M;68879;67560
Syddanmark;50-59;K;81610;81031
Syddanmark;50-59;M;82370;81676
Syddanmark;60-69;K;73451;73169
Syddanmark;60-69;M;72533;72244
Syddanmark;70-79;K;65269;65144
Syddanmark;70-79;M;60204;60081
Syddanmark;80-89;K;29806;29740
Syddanmark;80-89;M;22215;22172
Syddanmark;90+;K;5917;5873
Syddanmark;90+;M;2463;2457
