"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;484512;469021;72027;75.1;72.7;11.2;645056
Frederiksberg;82951;80873;17348;79.9;77.9;16.7;103800
Ballerup;37052;36057;8231;75.3;73.3;16.7;49209
Brøndby;24655;23830;5224;69.2;66.9;14.7;35613
Dragør;11546;11251;2962;79.0;76.9;20.3;14623
Gentofte;58623;57014;13737;79.0;76.9;18.5;74174
Gladsaxe;52265;50850;10490;75.4;73.4;15.1;69281
Glostrup;17434;16937;3839;74.2;72.1;16.3;23496
Herlev;21443;20798;5084;74.4;72.1;17.6;28828
Albertslund;19523;18711;4488;70.8;67.9;16.3;27569
Hvidovre;39175;38025;7855;73.5;71.4;14.7;53283
Høje Tåstrup;37503;36167;8654;70.9;68.4;16.4;52874
Lyngby-Taarbæk;45826;44573;9907;79.2;77.0;17.1;57874
Rødovre;30414;29478;6086;73.5;71.2;14.7;41400
Ishøj;15403;14752;3552;66.5;63.7;15.3;23148
Tårnby;32320;31431;6639;75.7;73.6;15.5;42701
Vallensbæk;11801;11466;2924;71.6;69.6;17.7;16478
Furesø;32032;31241;8299;77.4;75.5;20.1;41391
Allerød;20732;20283;5180;80.2;78.5;20.0;25854
Fredensborg;31714;30958;8113;77.1;75.3;19.7;41117
Helsingør;49515;48130;12714;78.6;76.4;20.2;62973
Hillerød;41666;40688;9960;78.4;76.5;18.7;53171
Hørsholm;20227;19767;6162;81.7;79.8;24.9;24767
Rudersdal;45776;44681;11498;79.9;78.0;20.1;57313
Egedal;34978;34130;7728;78.9;77.0;17.4;44342
Frederikssund;36864;35978;9370;80.6;78.7;20.5;45736
Greve;38628;37648;8776;76.0;74.1;17.3;50818
Køge;48135;46919;10323;77.9;76.0;16.7;61762
Halsnæs;24946;24384;6677;79.6;77.8;21.3;31330
Roskilde;71323;69579;16219;79.7;77.8;18.1;89447
Solrød;18438;18006;4105;77.7;75.9;17.3;23738
Gribskov;32774;32004;8673;79.7;77.8;21.1;41129
Odsherred;26754;26124;6963;81.3;79.4;21.2;32890
Holbæk;57926;56227;13171;79.6;77.3;18.1;72778
Faxe;29029;28270;6414;78.2;76.2;17.3;37120
Kalundborg;38165;37168;9172;78.8;76.7;18.9;48432
Ringsted;26666;25933;4650;76.0;73.9;13.2;35100
Slagelse;61902;60109;16388;77.7;75.5;20.6;79618
Stevns;18522;18133;4260;79.1;77.5;18.2;23404
Sorø;23829;23280;5887;79.5;77.7;19.6;29972
Lejre;22578;21988;5334;78.9;76.8;18.6;28632
Lolland;31731;30802;8575;79.1;76.8;21.4;40115
Næstved;65949;64194;15698;78.7;76.6;18.7;83759
Guldborgsund;47862;46640;12485;79.4;77.4;20.7;60282
Vordingborg;35985;35128;8904;79.3;77.4;19.6;45375
Bornholm;32622;31875;10895;82.2;80.3;27.5;39684
Middelfart;32160;31336;7932;81.2;79.2;20.0;39586
Assens;33396;32485;7243;81.5;79.3;17.7;40984
Faaborg-Midtfyn;41962;40826;10474;81.0;78.8;20.2;51827
Kerteminde;19604;19085;4832;81.6;79.5;20.1;24010
Nyborg;26221;25502;5895;81.7;79.5;18.4;32084
Odense;164880;159873;35689;80.0;77.6;17.3;206133
