"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90568;0.0;0.0
0-2;M;1;0;95613;0.0;0.0
3-5;K;48;1;91065;0.1;0.0
3-5;M;43;2;96191;0.0;0.0
6-11;K;13234;7;179513;7.4;0.0
6-11;M;14182;7;188807;7.5;0.0
12-15;K;101153;92052;132491;76.3;69.5
12-15;M;106633;97233;139999;76.2;69.5
16-19;K;119486;115950;134362;88.9;86.3
16-19;M;122778;118312;140399;87.4;84.3
20-39;K;606915;579391;732597;82.8;79.1
20-39;M;613759;585515;762551;80.5;76.8
40-64;K;880416;870815;946286;93.0;92.0
40-64;M;870521;860093;947826;91.8;90.7
65-79;K;455625;454386;470254;96.9;96.6
65-79;M;420023;418891;433163;97.0;96.7
80+;K;167704;167138;173478;96.7;96.3
80+;M;115141;114845;118225;97.4;97.1
