"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;2630;4;297788;0.9;0.0
0-9;M;2822;3;314385;0.9;0.0
10-19;K;245407;221967;344319;71.3;64.5
10-19;M;254195;228723;360004;70.6;63.5
20-29;K;312268;298051;381552;81.8;78.1
20-29;M;318908;302966;398232;80.1;76.1
30-39;K;294442;281198;350840;83.9;80.1
30-39;M;293558;281378;363026;80.9;77.5
40-49;K;342007;336434;374695;91.3;89.8
40-49;M;334033;327961;375494;89.0;87.3
50-59;K;376698;373575;401603;93.8;93.0
50-59;M;377469;374088;405016;93.2;92.4
60-69;K;325176;323756;339543;95.8;95.4
60-69;M;316180;314750;330240;95.7;95.3
70-79;K;292589;291937;301128;97.2;96.9
70-79;M;262744;262146;270121;97.3;97.0
80-89;K;127916;127526;132188;96.8;96.5
80-89;M;92912;92670;95559;97.2;97.0
90+;K;25456;25294;26958;94.4;93.8
90+;M;10260;10213;10697;95.9;95.5
