"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-07;Hovedstaden;K;736247;715681;170445;735401;715007;163771;846;674;6674
2021-12-07;Hovedstaden;M;690045;669672;123871;689302;669082;118390;743;590;5481
2021-12-07;Midtjylland;K;540071;524107;139527;539231;523519;135060;840;588;4467
2021-12-07;Midtjylland;M;528173;511047;99322;527298;510501;95984;875;546;3338
2021-12-07;Nordjylland;K;237546;231558;59857;237306;231441;58060;240;117;1797
2021-12-07;Nordjylland;M;236936;230224;42136;236680;230081;40772;256;143;1364
2021-12-07;Sjælland;K;337298;328919;91245;336830;328679;88840;468;240;2405
2021-12-07;Sjælland;M;326124;317229;66079;325613;316991;64182;511;238;1897
2021-12-07;Syddanmark;K;493427;479477;123768;492385;479115;120189;1042;362;3579
2021-12-07;Syddanmark;M;481803;466726;90415;480597;466364;87568;1206;362;2847
