"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17000;74
AstraZeneca Covid-19 vaccine;Midtjylland;33965;178
AstraZeneca Covid-19 vaccine;Syddanmark;30771;436
AstraZeneca Covid-19 vaccine;Hovedstaden;46188;902
AstraZeneca Covid-19 vaccine;Sjælland;23981;438
Janssen COVID-19 vaccine;Nordjylland;3658;3658
Janssen COVID-19 vaccine;Midtjylland;9865;9865
Janssen COVID-19 vaccine;Syddanmark;7589;7589
Janssen COVID-19 vaccine;Hovedstaden;22689;22689
Janssen COVID-19 vaccine;Sjælland;2848;2848
Moderna Covid-19 Vaccine;Nordjylland;71038;69560
Moderna Covid-19 Vaccine;Midtjylland;126035;121969
Moderna Covid-19 Vaccine;Syddanmark;135013;159436
Moderna Covid-19 Vaccine;Hovedstaden;151810;147041
Moderna Covid-19 Vaccine;Sjælland;84374;103929
Pfizer BioNTech Covid-19 vacc;Nordjylland;382786;388490
Pfizer BioNTech Covid-19 vacc;Midtjylland;898379;903142
Pfizer BioNTech Covid-19 vacc;Syddanmark;801857;778742
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1205605;1214721
Pfizer BioNTech Covid-19 vacc;Sjælland;552219;538933
