Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     134 (52);     126 (48);     260
10-19;     276 (55);     226 (45);     502
20-29;     960 (62);     581 (38);   1.541
30-39;     984 (61);     625 (39);   1.609
40-49;   1.194 (60);     792 (40);   1.986
50-59;   1.229 (60);     826 (40);   2.055
60-69;     654 (50);     663 (50);   1.317
70-79;     432 (45);     522 (55);     954
80-89;     435 (57);     328 (43);     763
90+;     176 (72);      67 (28);     243
I alt;   6.474 (58);   4.756 (42);  11.230
