Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     286 (50);     291 (50);     577
10-19;     645 (52);     585 (48);   1.230
20-29;   1.512 (57);   1.135 (43);   2.647
30-39;   1.334 (55);   1.070 (45);   2.404
40-49;   1.559 (57);   1.157 (43);   2.716
50-59;   1.586 (57);   1.211 (43);   2.797
60-69;     808 (48);     874 (52);   1.682
70-79;     557 (46);     643 (54);   1.200
80-89;     494 (57);     375 (43);     869
90+;     199 (72);      76 (28);     275
I alt;   8.980 (55);   7.417 (45);  16.397
