Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  46.790 (48);  49.689 (52);  96.479
10-19;  79.813 (50);  78.250 (50); 158.063
20-29;  89.886 (50);  89.778 (50); 179.664
30-39;  67.227 (51);  64.247 (49); 131.474
40-49;  68.651 (52);  63.470 (48); 132.121
50-59;  54.573 (50);  55.347 (50); 109.920
60-69;  28.137 (49);  29.582 (51);  57.719
70-79;  16.192 (50);  16.259 (50);  32.451
80-89;   6.836 (55);   5.541 (45);  12.377
90+;   2.106 (68);     971 (32);   3.077
I alt; 460.211 (50); 453.134 (50); 913.345
