"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,62384,31649,590435
Midtjylland,130835,61462,1332955
Syddanmark,130431,52939,1223858
Hovedstaden,180162,79926,1855878
Sjælland,85327,42677,839200
