Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  77.210 (49);  81.870 (51); 159.080
10-19; 121.739 (50); 120.375 (50); 242.114
20-29; 115.118 (51); 111.985 (49); 227.103
30-39;  99.917 (52);  91.691 (48); 191.608
40-49;  96.137 (53);  86.916 (47); 183.053
50-59;  70.352 (50);  69.873 (50); 140.225
60-69;  35.221 (49);  36.163 (51);  71.384
70-79;  18.886 (50);  19.074 (50);  37.960
80-89;   7.932 (55);   6.401 (45);  14.333
90+;   2.517 (69);   1.154 (31);   3.671
I alt; 645.042 (51); 625.523 (49);1.270.566
