Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     208 (53);     187 (47);     395
10-19;     402 (55);     326 (45);     728
20-29;   1.182 (61);     759 (39);   1.941
30-39;   1.161 (60);     784 (40);   1.945
40-49;   1.379 (60);     933 (40);   2.312
50-59;   1.406 (59);     973 (41);   2.379
60-69;     752 (50);     754 (50);   1.506
70-79;     508 (46);     608 (54);   1.116
80-89;     484 (57);     363 (43);     847
90+;     196 (73);      73 (27);     269
I alt;   7.678 (57);   5.760 (43);  13.438
