Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.310.177;  70.941;   3.797;     614
Sjælland; 510.839;  18.651;   1.230;     177
Syddanmark; 736.495;  17.750;     784;      76
Midtjylland; 840.788;  26.049;   1.132;     157
Nordjylland; 426.062;   8.817;     427;      71
I alt i Danmark;3.824.361; 142.208;   7.370;   1.095
