Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     112 (52);     105 (48);     217
10-19;     248 (55);     206 (45);     454
20-29;     896 (62);     547 (38);   1.443
30-39;     931 (62);     564 (38);   1.495
40-49;   1.157 (60);     761 (40);   1.918
50-59;   1.183 (60);     793 (40);   1.976
60-69;     624 (50);     633 (50);   1.257
70-79;     418 (45);     509 (55);     927
80-89;     421 (57);     322 (43);     743
90+;     173 (73);      64 (27);     237
I alt;   6.163 (58);   4.504 (42);  10.667
