Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     169 (52);     155 (48);     324
10-19;     321 (55);     266 (45);     587
20-29;   1.058 (62);     654 (38);   1.712
30-39;   1.073 (61);     693 (39);   1.766
40-49;   1.272 (60);     848 (40);   2.120
50-59;   1.319 (60);     884 (40);   2.203
60-69;     700 (50);     705 (50);   1.405
70-79;     468 (45);     563 (55);   1.031
80-89;     466 (57);     348 (43);     814
90+;     184 (72);      71 (28);     255
I alt;   7.030 (58);   5.187 (42);  12.217
