Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     270 (49);     278 (51);     548
10-19;     616 (53);     545 (47);   1.161
20-29;   1.473 (58);   1.080 (42);   2.553
30-39;   1.316 (56);   1.047 (44);   2.363
40-49;   1.547 (58);   1.135 (42);   2.682
50-59;   1.568 (57);   1.189 (43);   2.757
60-69;     797 (48);     860 (52);   1.657
70-79;     553 (46);     641 (54);   1.194
80-89;     493 (57);     373 (43);     866
90+;     199 (72);      76 (28);     275
I alt;   8.832 (55);   7.224 (45);  16.056
