Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     187 (51);     177 (49);     364
10-19;     352 (55);     291 (45);     643
20-29;   1.114 (61);     699 (39);   1.813
30-39;   1.120 (60);     742 (40);   1.862
40-49;   1.325 (60);     892 (40);   2.217
50-59;   1.364 (60);     926 (40);   2.290
60-69;     727 (50);     730 (50);   1.457
70-79;     498 (46);     590 (54);   1.088
80-89;     480 (57);     358 (43);     838
90+;     187 (72);      73 (28);     260
I alt;   7.354 (57);   5.478 (43);  12.832
