"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;58268;27550;297726;19.6;9.3
0-9;M;62252;29565;314374;19.8;9.4
10-19;K;264128;242213;329851;80.1;73.4
10-19;M;275276;252095;346367;79.5;72.8
20-29;K;321158;312571;382529;84.0;81.7
20-29;M;326790;316576;398881;81.9;79.4
30-39;K;299699;292186;350204;85.6;83.4
30-39;M;299568;292165;364173;82.3;80.2
40-49;K;337348;333911;367701;91.7;90.8
40-49;M;329209;325577;368179;89.4;88.4
50-59;K;377627;375515;401105;94.1;93.6
50-59;M;379107;376856;404935;93.6;93.1
60-69;K;328772;327658;342407;96.0;95.7
60-69;M;318902;317692;331961;96.1;95.7
70-79;K;297464;296789;305434;97.4;97.2
70-79;M;268977;268415;275779;97.5;97.3
80-89;K;137588;137161;141504;97.2;96.9
80-89;M;102558;102295;104955;97.7;97.5
90+;K;30657;30473;32015;95.8;95.2
90+;M;13046;12992;13440;97.1;96.7
